Member_number,Date,itemDescription,itemAisle
1697,21-05-2015,misc. beverages,Beverages
2507,25-08-2015,root vegetables,Produce
4620,03-11-2015,sausage,Fresh meat
3365,02-01-2015,canned beer,Alcohol
2978,06-05-2015,ham,Deli
2910,28-07-2015,turkey,Deli
1061,09-05-2015,whole milk,Dairy
3276,04-03-2015,whole milk,Dairy
1326,19-06-2015,packaged fruit/vegetables,Produce
3023,28-07-2015,rolls/buns,Bakery
2185,10-11-2015,ham,Deli
3552,16-06-2015,rolls/buns,Bakery
1967,20-01-2015,other vegetables,Produce
4708,20-03-2015,sausage,Fresh meat
2874,15-02-2015,sausage,Fresh meat
4177,13-04-2015,frankfurter,Deli
1663,02-07-2015,rolls/buns,Bakery
2632,03-02-2015,whole milk,Dairy
1377,14-03-2015,curd cheese,Dairy
4162,22-12-2015,red/blush wine,Alcohol
2270,07-01-2015,sausage,Fresh meat
4829,11-03-2015,tropical fruit,Produce
3811,14-04-2015,red/blush wine,Alcohol
4766,29-09-2015,whole milk,Dairy
2436,04-12-2015,frankfurter,Deli
3860,05-05-2015,whole milk,Dairy
4875,05-12-2015,frozen potato products,Frozen Foods
1587,07-01-2015,other vegetables,Produce
4038,07-08-2015,citrus fruit,Produce
4750,21-09-2015,flour,Baking
1199,12-10-2015,sugar,Baking
1603,30-09-2015,frozen meals,Frozen Foods
3111,31-01-2015,chocolate,Dessert
3894,13-12-2015,root vegetables,Produce
1456,18-09-2015,root vegetables,Produce
2022,03-04-2015,herbs,Produce
2505,30-11-2015,bottled water,Beverages
4851,20-12-2015,sausage,Fresh meat
4293,08-04-2015,coffee,Beverages
2775,11-06-2015,pork,Fresh meat
3693,18-02-2015,berries,Produce
1202,22-07-2015,soda,Beverages
3699,23-08-2015,berries,Produce
4152,15-04-2015,fruit/vegetable juice,Produce
4155,26-01-2015,citrus fruit,Produce
4010,29-12-2015,pork,Fresh meat
4389,20-10-2015,detergent,Cleaning Items
3746,17-08-2015,grapes,Produce
2560,17-05-2015,sausage,Fresh meat
1503,25-07-2015,chicken,Fresh meat
2555,23-12-2015,whole milk,Dairy
3645,12-12-2015,citrus fruit,Produce
3886,09-11-2015,soda,Beverages
2932,20-03-2015,sausage,Fresh meat
1711,18-06-2015,frankfurter,Deli
4291,12-08-2015,sausage,Fresh meat
1143,25-04-2015,soda,Beverages
4564,07-08-2015,rolls/buns,Bakery
3337,14-05-2015,beef,Fresh meat
4931,05-04-2015,whole milk,Dairy
2623,10-10-2015,processed cheese,Dairy
4581,04-03-2015,tropical fruit,Produce
2635,06-11-2015,frankfurter,Deli
1095,30-10-2015,packaged fruit/vegetables,Produce
2990,23-05-2015,whole milk,Dairy
2426,06-05-2015,berries,Produce
4555,11-07-2015,citrus fruit,Produce
3635,09-04-2015,tropical fruit,Produce
3058,18-05-2015,hamburger meat,Fresh meat
4391,26-03-2015,hamburger meat,Fresh meat
1306,23-06-2015,whole milk,Dairy
1024,08-10-2015,fish,Fresh meat
1295,23-07-2015,frankfurter,Deli
1661,06-01-2015,packaged fruit/vegetables,Produce
4591,15-05-2015,pastry,Bakery
3169,14-06-2015,other vegetables,Produce
3915,21-05-2015,misc. beverages,Beverages
1127,14-01-2015,frankfurter,Deli
4828,08-08-2015,sparkling wine,Alcohol
3683,06-10-2015,specialty bar,Snacks
1971,18-09-2015,sausage,Fresh meat
3014,11-11-2015,curd cheese,Dairy
3779,15-09-2015,frankfurter,Deli
2489,05-04-2015,whole milk,Dairy
3564,27-06-2015,newspapers,Household Goods
4092,30-09-2015,berries,Produce
3221,13-01-2015,curd,Dairy
1279,09-06-2015,tropical fruit,Produce
2581,22-08-2015,soda,Beverages
2295,25-02-2015,rolls/buns,Bakery
4760,22-02-2015,canned beer,Alcohol
3649,16-01-2015,canned beer,Alcohol
1075,19-11-2015,frankfurter,Deli
3987,19-08-2015,other vegetables,Produce
4106,25-08-2015,whole milk,Dairy
4338,24-06-2015,whole milk,Dairy
4166,11-06-2015,citrus fruit,Produce
1211,03-10-2015,frankfurter,Deli
3954,21-01-2015,frankfurter,Deli
3928,18-07-2015,butter milk,Dairy
3827,30-09-2015,hamburger meat,Fresh meat
4699,02-08-2015,pasta,Dry and Canned Foods
4747,06-08-2015,other vegetables,Produce
3028,06-09-2015,sausage,Fresh meat
2851,16-03-2015,rolls/buns,Bakery
4417,25-02-2015,grapes,Produce
3822,03-07-2015,root vegetables,Produce
2288,31-05-2015,coffee,Beverages
2184,30-06-2015,popcorn,Dry and Canned Foods
4554,27-08-2015,whole milk,Dairy
3361,03-05-2015,tropical fruit,Produce
2999,17-04-2015,beef,Fresh meat
2614,25-06-2015,whole milk,Dairy
4064,06-05-2015,frankfurter,Deli
3567,10-04-2015,tropical fruit,Produce
2587,05-07-2015,canned beer,Alcohol
3783,17-06-2015,finished products,Bakery
1923,14-02-2015,beverages,Beverages
4835,19-02-2015,hamburger meat,Fresh meat
1514,24-08-2015,whole milk,Dairy
3154,22-06-2015,finished products,Bakery
1313,25-12-2015,other vegetables,Produce
2794,18-07-2015,ham,Deli
2359,04-09-2015,other vegetables,Produce
2238,03-09-2015,curd,Dairy
3795,17-01-2015,bottled beer,Alcohol
3724,26-11-2015,curd,Dairy
1152,03-05-2015,whole milk,Dairy
4559,16-03-2015,whole milk,Dairy
3922,27-02-2015,dessert,Dessert
1709,22-04-2015,sausage,Fresh meat
2219,17-04-2015,other vegetables,Produce
2206,17-10-2015,ham,Deli
1752,04-06-2015,other vegetables,Produce
3942,11-10-2015,other vegetables,Produce
3296,17-08-2015,soda,Beverages
2257,02-05-2015,herbs,Produce
4313,28-07-2015,frankfurter,Deli
2001,21-08-2015,rolls/buns,Bakery
2449,07-08-2015,curd,Dairy
4914,04-12-2015,frankfurter,Deli
2764,24-07-2015,other vegetables,Produce
4187,05-09-2015,dog food,Pets
1392,20-04-2015,specialty bar,Snacks
3427,28-04-2015,curd,Dairy
1411,20-02-2015,frankfurter,Deli
3390,14-11-2015,soda,Beverages
4787,08-01-2015,beef,Fresh meat
3310,17-01-2015,canned beer,Alcohol
1782,10-10-2015,pork,Fresh meat
3375,26-04-2015,frankfurter,Deli
2760,01-07-2015,sausage,Fresh meat
4249,13-09-2015,canned beer,Alcohol
2904,06-06-2015,specialty chocolate,Dessert
4090,26-02-2015,curd,Dairy
3060,07-05-2015,canned beer,Alcohol
3768,10-07-2015,whole milk,Dairy
1232,21-01-2015,rolls/buns,Bakery
1360,23-10-2015,pork,Fresh meat
1107,10-01-2015,citrus fruit,Produce
2865,11-04-2015,pot plants,Household Goods
2958,14-06-2015,rolls/buns,Bakery
2448,07-12-2015,butter,Dairy
1222,24-09-2015,condensed milk,Baking
2943,20-06-2015,sausage,Fresh meat
2270,08-11-2015,whole milk,Dairy
3812,21-07-2015,sausage,Fresh meat
1482,22-11-2015,beverages,Beverages
4720,22-02-2015,beverages,Beverages
1344,09-04-2015,bottled water,Beverages
2397,10-04-2015,newspapers,Household Goods
4182,05-12-2015,cleaner,Cleaning Items
4487,07-10-2015,sausage,Fresh meat
3467,24-12-2015,newspapers,Household Goods
2443,15-11-2015,sausage,Fresh meat
2749,27-01-2015,misc. beverages,Beverages
4389,13-04-2015,white wine,Alcohol
1674,12-04-2015,sausage,Fresh meat
4262,16-10-2015,meat,Fresh meat
2082,04-07-2015,frankfurter,Deli
4494,01-06-2015,ice cream,Frozen Dessert
2460,28-09-2015,canned beer,Alcohol
4509,29-11-2015,tropical fruit,Produce
2267,07-03-2015,meat,Fresh meat
4891,09-05-2015,whole milk,Dairy
3962,20-09-2015,sausage,Fresh meat
4964,18-07-2015,frankfurter,Deli
2914,30-11-2015,meat,Fresh meat
2808,05-05-2015,root vegetables,Produce
1085,15-08-2015,root vegetables,Produce
3808,18-08-2015,whole milk,Dairy
4149,01-07-2015,citrus fruit,Produce
2331,06-05-2015,citrus fruit,Produce
4475,04-03-2015,other vegetables,Produce
2761,25-04-2015,citrus fruit,Produce
2620,14-12-2015,sausage,Fresh meat
3206,13-10-2015,frankfurter,Deli
1226,13-04-2015,hard cheese,Dairy
1395,03-07-2015,cream cheese ,Dairy
2465,06-07-2015,turkey,Deli
3572,07-09-2015,pork,Fresh meat
4387,05-08-2015,whole milk,Dairy
1555,27-03-2015,rolls/buns,Bakery
1181,16-11-2015,sausage,Fresh meat
2814,05-11-2015,ice cream,Frozen Dessert
2794,16-09-2015,liquor,Alcohol
2912,28-01-2015,pip fruit,Produce
4667,01-12-2015,root vegetables,Produce
2235,25-10-2015,soda,Beverages
2353,05-02-2015,soda,Beverages
3449,03-08-2015,sausage,Fresh meat
1058,11-10-2015,root vegetables,Produce
1027,17-05-2015,pork,Fresh meat
3302,22-05-2015,pork,Fresh meat
2229,30-05-2015,chocolate,Dessert
2188,15-08-2015,fruit/vegetable juice,Produce
1547,18-04-2015,pickled vegetables,Dry and Canned Foods
1649,30-06-2015,bottled water,Beverages
3254,09-10-2015,frankfurter,Deli
2818,11-07-2015,tropical fruit,Produce
2703,05-08-2015,canned beer,Alcohol
3332,31-01-2015,root vegetables,Produce
2473,07-01-2015,meat,Fresh meat
2810,30-12-2015,frankfurter,Deli
1033,22-04-2015,tropical fruit,Produce
4222,27-05-2015,tropical fruit,Produce
3679,21-09-2015,citrus fruit,Produce
2212,27-08-2015,hamburger meat,Fresh meat
1507,22-06-2015,chicken,Fresh meat
2870,21-01-2015,chicken,Fresh meat
3429,26-04-2015,frankfurter,Deli
4148,04-09-2015,canned beer,Alcohol
2970,30-12-2015,turkey,Deli
2013,30-08-2015,packaged fruit/vegetables,Produce
3967,30-05-2015,pasta,Dry and Canned Foods
2885,15-05-2015,citrus fruit,Produce
3935,07-02-2015,sausage,Fresh meat
3283,05-01-2015,whole milk,Dairy
3268,11-06-2015,canned beer,Alcohol
3677,30-04-2015,citrus fruit,Produce
3495,27-06-2015,liquor (appetizer),Alcohol
1410,10-04-2015,citrus fruit,Produce
2440,06-06-2015,sausage,Fresh meat
4088,13-01-2015,chicken,Fresh meat
2469,23-09-2015,hamburger meat,Fresh meat
4229,03-06-2015,sausage,Fresh meat
2728,08-02-2015,beef,Fresh meat
4694,25-01-2015,citrus fruit,Produce
2836,29-12-2015,UHT-milk,Dairy
1311,02-12-2015,candy,Dessert
1760,23-01-2015,newspapers,Household Goods
3656,03-02-2015,beef,Fresh meat
3720,28-05-2015,sausage,Fresh meat
2996,26-09-2015,frankfurter,Deli
1949,22-07-2015,canned beer,Alcohol
4498,02-11-2015,bottled beer,Alcohol
2447,28-12-2015,onions,Produce
1952,23-03-2015,tropical fruit,Produce
4099,27-01-2015,bottled water,Beverages
1804,03-12-2015,beef,Fresh meat
1510,16-05-2015,sausage,Fresh meat
2879,18-04-2015,hair spray,Personal Care
4899,03-12-2015,chicken,Fresh meat
4326,29-09-2015,pork,Fresh meat
1670,17-05-2015,ice cream,Frozen Dessert
1117,24-05-2015,meat,Fresh meat
1346,04-03-2015,other vegetables,Produce
1178,15-11-2015,bottled water,Beverages
1649,25-06-2015,tropical fruit,Produce
4651,21-06-2015,photo/film,Household Goods
4243,04-02-2015,sausage,Fresh meat
4429,21-07-2015,grapes,Produce
4645,25-07-2015,domestic eggs,Dairy
4019,24-07-2015,rolls/buns,Bakery
4459,26-04-2015,tropical fruit,Produce
3006,27-12-2015,chicken,Fresh meat
1834,17-09-2015,frankfurter,Deli
3236,07-04-2015,berries,Produce
1765,03-11-2015,margarine,Dairy
3855,03-09-2015,tropical fruit,Produce
4392,28-11-2015,ham,Deli
3330,26-07-2015,hamburger meat,Fresh meat
1723,09-02-2015,yogurt,Dairy
4110,30-03-2015,soda,Beverages
2600,28-01-2015,yogurt,Dairy
2946,10-07-2015,soda,Beverages
2426,09-08-2015,bottled water,Beverages
4170,05-03-2015,sausage,Fresh meat
1109,04-06-2015,citrus fruit,Produce
3429,01-04-2015,shopping bags,Household Goods
2055,02-04-2015,newspapers,Household Goods
2480,20-09-2015,frankfurter,Deli
2441,30-05-2015,sausage,Fresh meat
1054,10-04-2015,frankfurter,Deli
4818,01-11-2015,salt,Condiments and Spices
3379,21-01-2015,oil,Condiments and Spices
3939,02-10-2015,curd,Dairy
1367,08-05-2015,other vegetables,Produce
1043,01-10-2015,citrus fruit,Produce
2231,17-10-2015,frankfurter,Deli
3235,28-12-2015,root vegetables,Produce
4554,16-07-2015,tropical fruit,Produce
3245,24-01-2015,beef,Fresh meat
2996,19-05-2015,berries,Produce
2507,01-05-2015,canned beer,Alcohol
4186,25-10-2015,whipped/sour cream,Dairy
3929,28-04-2015,root vegetables,Produce
3760,22-11-2015,whole milk,Dairy
4928,18-08-2015,beef,Fresh meat
4217,18-12-2015,frozen vegetables,Frozen Foods
1174,02-11-2015,rolls/buns,Bakery
4103,19-06-2015,whole milk,Dairy
4408,13-03-2015,whole milk,Dairy
2588,28-12-2015,citrus fruit,Produce
2598,11-11-2015,pastry,Bakery
1518,12-11-2015,frankfurter,Deli
2702,04-08-2015,tropical fruit,Produce
1001,20-01-2015,frankfurter,Deli
2270,30-09-2015,berries,Produce
2838,11-10-2015,rolls/buns,Bakery
1683,26-05-2015,root vegetables,Produce
4040,04-03-2015,yogurt,Dairy
3897,23-08-2015,other vegetables,Produce
2200,03-11-2015,berries,Produce
4073,29-01-2015,berries,Produce
3700,19-04-2015,other vegetables,Produce
3973,06-10-2015,rolls/buns,Bakery
2715,07-06-2015,ham,Deli
3967,23-11-2015,whole milk,Dairy
4002,09-03-2015,tropical fruit,Produce
2962,03-01-2015,bottled water,Beverages
4340,25-12-2015,butter milk,Dairy
2092,11-06-2015,newspapers,Household Goods
3143,24-05-2015,coffee,Beverages
2209,10-03-2015,bottled beer,Alcohol
2816,22-08-2015,onions,Produce
2659,06-01-2015,hamburger meat,Fresh meat
1588,13-10-2015,sausage,Fresh meat
1144,15-10-2015,hard cheese,Dairy
2166,12-10-2015,sausage,Fresh meat
3300,10-06-2015,hamburger meat,Fresh meat
3944,01-03-2015,onions,Produce
4979,24-04-2015,coffee,Beverages
2630,21-01-2015,shopping bags,Household Goods
4240,29-04-2015,yogurt,Dairy
2357,07-08-2015,soda,Beverages
1743,18-04-2015,sliced cheese,Dairy
2331,15-02-2015,sausage,Fresh meat
1643,28-04-2015,yogurt,Dairy
1291,20-03-2015,domestic eggs,Dairy
3675,07-04-2015,whole milk,Dairy
4134,11-06-2015,meat,Fresh meat
1363,21-06-2015,dish cleaner,Cleaning Items
4212,05-01-2015,other vegetables,Produce
1500,21-03-2015,whole milk,Dairy
2622,10-01-2015,other vegetables,Produce
3543,18-03-2015,tropical fruit,Produce
2525,24-05-2015,baking powder,Baking
1264,10-12-2015,specialty bar,Snacks
3601,07-06-2015,ice cream,Frozen Dessert
1771,23-03-2015,frankfurter,Deli
4694,02-06-2015,canned beer,Alcohol
1122,21-12-2015,bottled water,Beverages
3507,08-12-2015,other vegetables,Produce
4524,26-04-2015,citrus fruit,Produce
3612,27-09-2015,sausage,Fresh meat
3262,06-11-2015,domestic eggs,Dairy
1897,25-01-2015,pork,Fresh meat
1656,30-10-2015,specialty cheese,Dairy
3953,01-10-2015,pork,Fresh meat
1488,21-06-2015,beef,Fresh meat
1652,17-03-2015,other vegetables,Produce
4953,16-09-2015,chicken,Fresh meat
3445,30-04-2015,soda,Beverages
3180,15-03-2015,whole milk,Dairy
4934,09-06-2015,rolls/buns,Bakery
2980,27-04-2015,bottled beer,Alcohol
2763,13-02-2015,root vegetables,Produce
4819,03-04-2015,pastry,Bakery
3169,07-02-2015,berries,Produce
1850,03-11-2015,citrus fruit,Produce
4285,29-12-2015,whole milk,Dairy
4366,13-08-2015,soda,Beverages
2253,16-06-2015,bottled water,Beverages
3398,03-11-2015,tropical fruit,Produce
2215,22-07-2015,salty snack,Snacks
3737,03-03-2015,bottled water,Beverages
2649,28-11-2015,chocolate,Dessert
3203,08-07-2015,citrus fruit,Produce
4261,16-02-2015,bottled water,Beverages
2435,17-07-2015,onions,Produce
2046,21-08-2015,dessert,Dessert
4267,02-11-2015,beef,Fresh meat
1086,28-12-2015,rolls/buns,Bakery
1992,01-04-2015,beef,Fresh meat
3622,26-07-2015,soda,Beverages
4700,27-06-2015,coffee,Beverages
2272,16-05-2015,rolls/buns,Bakery
1663,19-05-2015,pork,Fresh meat
2519,06-03-2015,soda,Beverages
2639,30-10-2015,sausage,Fresh meat
1466,19-04-2015,beef,Fresh meat
4122,23-10-2015,whole milk,Dairy
3598,15-04-2015,pork,Fresh meat
3097,08-10-2015,berries,Produce
1873,19-09-2015,sausage,Fresh meat
1537,02-01-2015,bottled water,Beverages
3960,25-03-2015,tropical fruit,Produce
1136,15-06-2015,herbs,Produce
2453,21-12-2015,yogurt,Dairy
1746,15-02-2015,Instant food products,Dry and Canned Foods
3572,06-09-2015,specialty chocolate,Dessert
3246,24-06-2015,coffee,Beverages
3207,26-11-2015,bottled beer,Alcohol
1042,02-12-2015,beef,Fresh meat
1176,30-03-2015,whole milk,Dairy
3054,23-02-2015,frankfurter,Deli
4486,12-02-2015,frankfurter,Deli
1580,12-05-2015,other vegetables,Produce
1623,11-02-2015,frankfurter,Deli
4169,24-11-2015,whole milk,Dairy
2254,24-01-2015,frankfurter,Deli
4095,11-01-2015,other vegetables,Produce
1264,17-11-2015,bottled water,Beverages
3375,01-06-2015,pork,Fresh meat
3242,23-05-2015,bottled water,Beverages
2227,06-07-2015,other vegetables,Produce
3847,12-03-2015,hamburger meat,Fresh meat
3897,31-05-2015,hamburger meat,Fresh meat
1799,27-09-2015,shopping bags,Household Goods
2920,26-04-2015,whole milk,Dairy
3713,31-01-2015,ice cream,Frozen Dessert
4230,11-05-2015,pastry,Bakery
1455,18-03-2015,ham,Deli
3687,18-03-2015,frankfurter,Deli
3869,08-01-2015,sausage,Fresh meat
2988,14-10-2015,bottled beer,Alcohol
4242,30-03-2015,bottled water,Beverages
4118,24-12-2015,meat,Fresh meat
4996,24-10-2015,dessert,Dessert
4489,03-04-2015,other vegetables,Produce
1199,11-09-2015,beverages,Beverages
4108,05-12-2015,ham,Deli
3484,06-05-2015,specialty bar,Snacks
1239,31-08-2015,brown bread,Bakery
4839,19-12-2015,whole milk,Dairy
4748,05-07-2015,rolls/buns,Bakery
4426,06-06-2015,bottled beer,Alcohol
3571,12-11-2015,pet care,Pets
2852,06-08-2015,citrus fruit,Produce
3638,26-05-2015,pork,Fresh meat
3635,03-10-2015,other vegetables,Produce
2723,05-07-2015,white wine,Alcohol
3495,03-11-2015,whole milk,Dairy
2813,16-11-2015,pip fruit,Produce
2799,09-02-2015,sugar,Baking
4723,22-05-2015,tropical fruit,Produce
3313,04-08-2015,root vegetables,Produce
4748,15-12-2015,soda,Beverages
2991,16-02-2015,whole milk,Dairy
1483,04-01-2015,tropical fruit,Produce
3950,10-01-2015,white bread,Bakery
1634,16-01-2015,brown bread,Bakery
2694,21-11-2015,tropical fruit,Produce
2707,18-10-2015,domestic eggs,Dairy
2813,16-07-2015,coffee,Beverages
2276,01-11-2015,soda,Beverages
4726,02-06-2015,whole milk,Dairy
4353,25-05-2015,bottled beer,Alcohol
4017,13-08-2015,pork,Fresh meat
1422,21-08-2015,other vegetables,Produce
2714,15-03-2015,yogurt,Dairy
2769,21-07-2015,sparkling wine,Alcohol
4166,30-04-2015,bottled water,Beverages
3614,03-02-2015,citrus fruit,Produce
4361,09-05-2015,hamburger meat,Fresh meat
1922,22-09-2015,packaged fruit/vegetables,Produce
4728,09-06-2015,other vegetables,Produce
3646,08-08-2015,soda,Beverages
1155,08-10-2015,whole milk,Dairy
2119,06-11-2015,herbs,Produce
1602,29-08-2015,citrus fruit,Produce
1074,24-06-2015,misc. beverages,Beverages
2256,04-11-2015,female sanitary products,Personal Care
1348,17-09-2015,soda,Beverages
3806,28-08-2015,tropical fruit,Produce
1711,06-06-2015,soda,Beverages
3959,04-12-2015,white bread,Bakery
1590,15-08-2015,coffee,Beverages
1962,06-08-2015,tropical fruit,Produce
1766,21-01-2015,pork,Fresh meat
2551,21-10-2015,citrus fruit,Produce
2294,23-09-2015,frankfurter,Deli
4531,29-05-2015,frankfurter,Deli
2957,04-12-2015,frankfurter,Deli
4415,27-01-2015,other vegetables,Produce
1476,26-08-2015,yogurt,Dairy
3978,23-07-2015,sausage,Fresh meat
2062,22-09-2015,whole milk,Dairy
3252,28-06-2015,pip fruit,Produce
3922,24-06-2015,whole milk,Dairy
1491,17-10-2015,root vegetables,Produce
3526,26-08-2015,onions,Produce
4060,12-11-2015,specialty chocolate,Dessert
1067,04-08-2015,hamburger meat,Fresh meat
2840,27-01-2015,photo/film,Household Goods
4484,27-11-2015,rolls/buns,Bakery
2353,02-07-2015,canned beer,Alcohol
3130,18-02-2015,canned beer,Alcohol
4273,14-06-2015,other vegetables,Produce
4565,30-12-2015,canned beer,Alcohol
2504,14-08-2015,curd,Dairy
4127,23-10-2015,butter,Dairy
2690,04-01-2015,other vegetables,Produce
4129,22-09-2015,whole milk,Dairy
4511,29-06-2015,beef,Fresh meat
1602,08-04-2015,sausage,Fresh meat
4369,02-01-2015,soda,Beverages
1302,29-09-2015,fruit/vegetable juice,Produce
3326,30-04-2015,rolls/buns,Bakery
2066,21-05-2015,pip fruit,Produce
3483,15-01-2015,frozen vegetables,Frozen Foods
2840,02-12-2015,beverages,Beverages
1807,18-05-2015,hamburger meat,Fresh meat
2067,08-12-2015,root vegetables,Produce
3783,17-02-2015,canned beer,Alcohol
2884,01-04-2015,frozen vegetables,Frozen Foods
2908,15-03-2015,canned beer,Alcohol
1330,07-10-2015,newspapers,Household Goods
2293,05-08-2015,rolls/buns,Bakery
3718,20-05-2015,hamburger meat,Fresh meat
4338,25-01-2015,pip fruit,Produce
3486,11-08-2015,canned beer,Alcohol
3635,09-04-2015,grapes,Produce
2857,18-02-2015,root vegetables,Produce
3684,13-08-2015,citrus fruit,Produce
3120,20-10-2015,cling film/bags,Household Goods
3872,19-03-2015,frankfurter,Deli
2777,04-07-2015,whole milk,Dairy
2702,27-05-2015,pork,Fresh meat
4796,29-06-2015,chicken,Fresh meat
1564,23-10-2015,sausage,Fresh meat
2740,07-02-2015,specialty bar,Snacks
1833,13-04-2015,whipped/sour cream,Dairy
1757,23-12-2015,root vegetables,Produce
2975,24-10-2015,rolls/buns,Bakery
4032,08-10-2015,other vegetables,Produce
3979,16-09-2015,citrus fruit,Produce
3772,03-09-2015,whole milk,Dairy
4523,28-10-2015,frankfurter,Deli
4004,19-04-2015,coffee,Beverages
2936,06-08-2015,ham,Deli
2394,21-06-2015,canned beer,Alcohol
4616,16-08-2015,canned beer,Alcohol
2362,07-08-2015,canned beer,Alcohol
3593,11-03-2015,pip fruit,Produce
4389,27-08-2015,pork,Fresh meat
3206,08-11-2015,soap,Personal Care
4601,01-04-2015,pip fruit,Produce
4382,13-11-2015,beef,Fresh meat
2718,06-08-2015,sausage,Fresh meat
4691,10-12-2015,frozen chicken,Frozen Foods
3735,28-11-2015,soda,Beverages
3900,20-12-2015,tropical fruit,Produce
4959,30-06-2015,other vegetables,Produce
1815,30-08-2015,beef,Fresh meat
2454,04-08-2015,meat,Fresh meat
4778,15-01-2015,meat,Fresh meat
2289,11-04-2015,bottled water,Beverages
1734,13-07-2015,rolls/buns,Bakery
4019,02-05-2015,pastry,Bakery
4605,28-05-2015,pork,Fresh meat
4864,14-11-2015,pip fruit,Produce
4205,22-02-2015,beef,Fresh meat
1862,08-03-2015,beef,Fresh meat
1846,19-07-2015,rolls/buns,Bakery
2019,28-05-2015,citrus fruit,Produce
2042,19-11-2015,meat,Fresh meat
1768,26-05-2015,beverages,Beverages
3847,26-03-2015,beef,Fresh meat
3557,20-07-2015,ham,Deli
3975,27-02-2015,hamburger meat,Fresh meat
4198,18-03-2015,beef,Fresh meat
2580,09-04-2015,beef,Fresh meat
3474,25-08-2015,root vegetables,Produce
1678,14-11-2015,citrus fruit,Produce
4254,14-08-2015,yogurt,Dairy
4704,21-08-2015,tropical fruit,Produce
3343,05-10-2015,frankfurter,Deli
3812,24-06-2015,beef,Fresh meat
3093,13-03-2015,shopping bags,Household Goods
2170,18-06-2015,canned beer,Alcohol
4867,29-10-2015,rolls/buns,Bakery
3899,23-03-2015,other vegetables,Produce
2941,10-03-2015,hamburger meat,Fresh meat
1958,07-03-2015,hamburger meat,Fresh meat
2760,08-08-2015,frankfurter,Deli
4413,08-03-2015,bottled beer,Alcohol
1737,15-05-2015,tropical fruit,Produce
4202,18-02-2015,soda,Beverages
1065,13-11-2015,frankfurter,Deli
3819,28-06-2015,chicken,Fresh meat
2854,02-08-2015,coffee,Beverages
4387,16-09-2015,whole milk,Dairy
4530,04-12-2015,margarine,Dairy
4191,11-03-2015,tropical fruit,Produce
3102,12-04-2015,meat,Fresh meat
1946,25-01-2015,cream cheese ,Dairy
2156,15-05-2015,newspapers,Household Goods
1444,16-12-2015,rolls/buns,Bakery
1699,14-05-2015,citrus fruit,Produce
4954,05-04-2015,whole milk,Dairy
2207,04-08-2015,frankfurter,Deli
4826,28-01-2015,ham,Deli
2374,06-08-2015,frankfurter,Deli
1604,18-08-2015,sausage,Fresh meat
4437,29-11-2015,domestic eggs,Dairy
2319,05-10-2015,whole milk,Dairy
3018,27-06-2015,rolls/buns,Bakery
1195,28-09-2015,whole milk,Dairy
1768,09-04-2015,sausage,Fresh meat
3017,28-09-2015,curd,Dairy
3384,29-11-2015,bottled water,Beverages
1918,30-01-2015,beef,Fresh meat
2524,17-10-2015,frankfurter,Deli
2798,17-06-2015,chicken,Fresh meat
2096,25-01-2015,sausage,Fresh meat
1489,13-03-2015,pork,Fresh meat
1431,20-07-2015,yogurt,Dairy
2747,07-05-2015,whole milk,Dairy
3054,22-03-2015,frankfurter,Deli
2691,10-09-2015,beef,Fresh meat
1752,19-04-2015,pip fruit,Produce
3027,15-09-2015,sausage,Fresh meat
